movie_title,year,place,star_cast,rating,vote,link
The Silence of the Lambs,1991,22,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",8.588018070631511,,/title/tt0102926/
Cidade de Deus,2002,23,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",8.579122484096171,,/title/tt0317248/
Saving Private Ryan,1998,24,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",8.577116539246688,,/title/tt0120815/
La vita è bella,1997,25,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",8.565968166630672,,/title/tt0118799/
The Green Mile,1999,26,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",8.559118311235235,,/title/tt0120689/
Star Wars,1977,27,"George Lucas (dir.), Mark Hamill, Harrison Ford",8.55492995194656,,/title/tt0076759/
Interstellar,2014,28,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",8.553337946193666,,/title/tt0816692/
Terminator 2: Judgment Day,1991,29,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.534561564640201,,/title/tt0103064/
Back to the Future,1985,30,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",8.51777388604115,,/title/tt0088763/
Sen to Chihiro no kamikakushi,2001,31,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",8.515105015190906,,/title/tt0245429/
Psycho,1960,32,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",8.508745058305935,,/title/tt0054215/
The Pianist,2002,33,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",8.504411571315487,,/title/tt0253474/
Léon,1994,34,"Luc Besson (dir.), Jean Reno, Gary Oldman",8.501665523677413,,/title/tt0110413/
Gisaengchung,2019,35,"Bong Joon Ho (dir.), Kang-ho Song, Sun-kyun Lee",8.495348947457272,,/title/tt6751668/
The Lion King,1994,36,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",8.488384680532384,,/title/tt0110357/
American History X,1998,37,"Tony Kaye (dir.), Edward Norton, Edward Furlong",8.485179117396777,,/title/tt0120586/
Gladiator,2000,38,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",8.484891227055904,,/title/tt0172495/
The Usual Suspects,1995,39,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",8.47773035637938,,/title/tt0114814/
The Departed,2006,40,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",8.47493547883684,,/title/tt0407887/
The Prestige,2006,41,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",8.46769580686032,,/title/tt0482571/
Casablanca,1942,42,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",8.466099716384143,,/title/tt0034583/
Whiplash,2014,43,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",8.459164979603484,,/title/tt2582802/
The Intouchables,2011,44,"Olivier Nakache (dir.), François Cluzet, Omar Sy",8.454457269069627,,/title/tt1675434/
Modern Times,1936,45,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.450197453755436,,/title/tt0027977/
Once Upon a Time in the West,1968,46,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",8.448830022476766,,/title/tt0064116/
Seppuku,1962,47,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama",8.44882332755364,,/title/tt0056058/
Hotaru no haka,1988,48,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",8.446298028528997,,/title/tt0095327/
Rear Window,1954,49,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",8.43772607313809,,/title/tt0047396/
Alien,1979,50,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",8.435534945579585,,/title/tt0078748/
City Lights,1931,51,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",8.434651145434053,,/title/tt0021749/
Nuovo Cinema Paradiso,1988,52,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",8.428593408358273,,/title/tt0095765/
Memento,2000,53,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",8.426830626290783,,/title/tt0209144/
